Token,Frequency
{file: },4334
{path},479
"deny *S-1-1-0:(OI)(CI)(DE,DC)",424
{file: u},193
set {default} bootstatuspolicy ignoreallfailures,110
chcp  65001,101
advapi32.dll.RegOpenKeyExW,84
wmic  shadowcopy delete,76
?set_terminate@@YAP6AXXZP6AXXZ@Z,76
{file: None},62
set {default} recoveryenabled no,59
wmic  csproduct get uuid,57
server.exe server.exe ENABLE,56
wbadmin  delete catalog -quiet,51
set {default} recoveryenabled No,50
netsh  firewall set opmode mode=disable,48
kernel32.dll.ReadFile,46
prefetch:2,45
netsh  advfirewall set currentprofile state off,44
System.Threading.Thread::Sleep,44
System.Diagnostics.Process::Start,43
System.IO.File::Exists,43
kernel32.dll.WriteFile,41
System.Threading.Thread::Start,38
kernel32.dll.GetCurrentThreadId,38
ping  -n 10 localhost,37
System.Threading.Thread::ctor,37
timeout  3,36
nslookup gandcrab.bit dns1.soprodns.ru,35
nslookup nomoreransom.bit dns1.soprodns.ru,35
System.IO.File::Delete,35
samples:2,35
System.Resources.ResourceManager::ctor,33
System.Security.Cryptography.HashAlgorithm::ComputeHash,33
System.Threading.Mutex::ctor,32
System.IO.Directory::Exists,31
nslookup nomoreransom.bit dns2.soprodns.ru,30
nslookup gandcrab.bit dns2.soprodns.ru,30
nslookup nomoreransom.coin dns1.soprodns.ru,30
nslookup nomoreransom.coin dns2.soprodns.ru,30
Microsoft.Win32.RegistryKey::GetValue,30
wbadmin DELETE SYSTEMSTATEBACKUP -deleteOldest,30
System.IO.File::ReadAllText,30
System.Security.Cryptography.MD5CryptoServiceProvider::ctor,29
Microsoft.Win32.RegistryKey::SetValue,29
System.IO.Directory::CreateDirectory,29
System.Diagnostics.Process::GetProcesses,29
System.Reflection.Assembly::Load,28
System.IO.Compression.GZipStream::ctor,28
wbadmin DELETE SYSTEMSTATEBACKUP,28
Microsoft.Win32.RegistryKey::OpenSubKey,27
kernel32.dll.RegOpenKeyExW,27
Microsoft.Win32.RegistryKey::CreateSubKey,26
kernel32.dll.FreeLibrary,26
System.IO.File::ReadAllBytes,25
System.Management.ManagementObjectSearcher::Get,25
System.Diagnostics.Process::WaitForExit,25
ping.exe  -n 6 127.0.0.1,24
System.Drawing.Image::Save,24
System.IO.File::Copy,24
kernel32.dll.IsDebuggerPresent,24
System.IO.File::WriteAllText,24
System.Diagnostics.Process::Kill,24
System.Threading.Timer::ctor,24
kernel32.dll.TerminateProcess,23
rl HIGHEST,23
System.Text.RegularExpressions.Regex::ctor,23
powershell Get-MpPreference -verbose,23
System.Security.Principal.WindowsIdentity::GetCurrent,23
kernel32.dll.ExitProcess,22
kernel32.dll.FindNextFileW,22
System.Net.WebClient::DownloadFile,22
System.IO.Directory::GetFiles,21
