API,Frequency
!WannaDecryptor!,2
#102,1
#104,1
#111,1
#115,1
#2163_02_33-2022,1
#236,1
#320,1
#321,1
#323,1
#324,1
#326,1
#328,1
#332,1
#334,1
#338,1
#339,1
#386,1
#410,1
#411,1
#413,1
#701,1
#702,1
#703,1
#791,1
#by-unknown,1
#system32,2
$$a4AB5,1
$77-DasHost,1
$77-DiscordUpdater,1
$77-Install,1
$77-Kitty,1
$77-RobloxCrashHandler,1
$77666,1
$77exlusion,1
$77startup,1
$77taskkill,1
$I1J89UN,1
$I7Q2278,1
$IAPE061,1
$R7Q2278,1
$RECYCLE,1
$TMP$001,1
$nya-Loli,1
$vch0st,1
$yaCommand,2
%Namee%,1
)[-1]),1
--3e2f565f,1
--be9efd3f,1
-Force,1
-UseBasicParsing | iex,1
-fakearg,1
-start,1
-ttwn1ad,1
._cache_._cache_a27fc24b3db249413b189f6b6eea5c57.exe,1
._cache_30ae88466b0637a68ca7e43058b777b6.exe,1
._cache_5be381f7752ae4bf419d041b253e2c0a.exe,1
._cache_7936de662e05c677b538279971a98f41.exe,1
._cache_7d26400a52f9961af01895d60665b443.exe,1
._cache_8903f5659ab1523a334a5eaef62c3002.exe,1
._cache_InstallUtil.exe,2
._cache_a27fc24b3db249413b189f6b6eea5c57.exe,1
._cache_c2385b01cd51f608462c3ddaab90d13f.exe,1
._cache_d7c9e4eabb497e8296d520098895c225.exe,1
._cache_ddadd6be5ba31e17a0e5e6cff1157501.exe,1
._cache_oh.exe,1
0.vbs 0.vbs ENABLE,1
0004312E,1
000ad3942695703a1f4a9013aa06ea2c,1
0019f3d4fc0c050e8ef59aa2dcff9f7f,1
002b324194b3ff5ef61b495c27dea228,1
003037b34d196a0ebf265544296b8304,1
0040b94a9520ea76e788d51f911e51aa,1
0058315c463f0dbdf8df66e1742306e7,1
0065ab3ad3ded836a2e3c45d7f2b7cfe,1
006900ce08031925c6871857a3454f83,1
006bf84055e1d7b030b6f4aecbc0a128,1
0073b0f612093678320242216c21bfd6,1
00768b7c96983aa8838f6ae019099dd1,1
0077bab447ee5e92ab4ffd37122ff800,1
00931ec8f7c2ad15d3241ed1f2eb12c2,1
